chunk,count
market,203
school,160
medium market,155
school district,108
student,106
housing,78
interview,74
refugee,62
service,58
park,57
immigrant,56
child,54
set,54
generation,52
campus,52
community leader,51
land,50
range,47
designation,47
shopping,46
dynamic,46
business,45
violence,45
family,44
community meeting,43
print medium,42
sport team,42
water,41
kid,37
race,35
library,34
street,31
status,30
settlement,30
religion,30
topic,30
majority,29
watershed,28
nature,28
ethnicity,28
sub,28
breakdown,28
ward,27
employer,27
immigration status,27
origin,27
education,26
recreation,25
assembly district,25
band,25
youth,25
pothole,25
suburb,24
community member,24
function,24
metro,23
transportation,23
culture,23
media market,23
interview approach,23
trend,23
aapi community,23
mapping software statistic,23
guide,23
census/,23
visibility,23
language dialect,23
refugee settlement,23
class neighborhood,23
migration,23
population stat,23
interviewee,23
language barrier,23
confusion misinformation,23
inhibitor,23
distribution,22
volunteer,22
downtown,22
church,22
approach,22
cd,21
hospital,21
diversity,21
worker,21
opportunity,21
gas station,21
dividing line criterion,21
reference,21
tv station,21
news coi,21
decline,21
tv market,21
health education institution,21
turf,21
outlet,21
gb/,21
state medium market,21
weather forecast,21
health system,21
metro area,21
college,20
restaurant,20
policing,20
river watershed,20
descent,20
village,19
healthcare,19
tourism,19
farmer,19
specie,19
professional,19
health,18
access,18
lake,17
river,17
safety,17
reach,17
medium,17
development,16
space,16
crime,16
tourist attraction,16
healthcare delivery,16
convenience,16
area plan,16
message,16
highway,15
trash,15
renter,15
weather pattern,15
statewide community,15
methodology,14
corner,14
reservation,14
industry,14
food,14
tradition,14
grocery store,14
plant,14
water quality,14
language,14
speeding,14
light,14
military,14
planet,14
bike,13
favor,13
lead,13
music,13
biking,13
homeowner,13
terrain,12
trail,12
employment,12
age,12
discussion,12
aapi/,12
ice cave,12
school system,11
income,11
program,11
food desert,11
poverty,11
activist,11
store,11
drug,11
engagement,11
wave,11
entirety,10
respect,10
hub,10
geology,10
heart,10
police,10
visitor,10
island,10
farm,10
fish,10
shore,10
mining,10
website,10
refugee family,10
fighting,10
holding,10
folx,10
lip,10
